Unnamed: 0,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
0,4.16,GE,GST,2.0,1.468115499946827,3.696725348617437,-1.0241029221737388,3.604378521150263,3.8208562822390166,3.929474927855859,4.038093573472702,False
1,4.16,GE,UST,2.0,1.3960433141920618,3.6136762786152974,-1.0776620161566965,3.522912519513652,3.673691342682536,3.7345076550661216,3.7953239674497072,False
2,4.16,MIT,GST,2.0,-0.42454583848993854,1.1095471594713462,-1.1290670923723358,1.0858081057944606,1.117849008093606,1.1327854819585856,1.1477219558235654,False
3,4.16,MIT,UST,2.0,-0.266219295648609,1.3301774861292075,-1.0603119869207778,1.240792870591834,1.3974915401300096,1.4737930263181795,1.5500945125063492,False
4,4.16,OTH,GST,2.0,2.162092686384595,3.0662764974028933,2.063164818730314,2.4720692584154964,7.533045683086176,10.397099313804492,13.26115294452281,False
5,4.16,OTH,GST,4.0,3.664779825519482,4.545163852597723,2.132757361165642,4.209091920631751,9.66684373834309,12.593009807055626,15.519175875768164,False
6,6.9,ANS,GST,2.0,1.1595019075471498,3.68,0.031215317535020343,3.55,4.337273038950896,5.38777980122901,6.438286563507125,False
7,6.9,ANS,GST,4.0,1.8446613618856942,4.69,0.4294483591278785,4.69,5.637300102306856,7.043236113720003,8.449172125133149,False
8,6.9,ANS,UST,2.0,-0.4968556799326703,0.945,0.6589910736448844,0.63,2.614028775065183,4.224835267186978,5.835641759308773,False
9,6.9,ANS,UST,4.0,-0.33867481666966637,1.1165662490334782,0.6007325670431115,-0.37,2.780108820184813,4.338918679444671,5.897728538704529,False
10,6.9,GE,GST,2.0,0.797422032020483,2.5529671860166374,0.23819105527547105,2.98,4.022819273761539,5.258055135262588,6.493290996763635,False
11,6.9,GE,GST,4.0,1.1183554738787722,3.0678997336394778,0.1474768578927336,3.02,4.384311596270525,5.53858361074203,6.692855625213537,False
12,6.9,GE,UST,2.0,3.0503295392206846,5.64,0.8216204593847591,2.86,7.649519107062786,9.405474882201412,11.161430657340038,False
13,6.9,GE,UST,4.0,3.096292336136961,5.68,1.1225198790726667,2.83,7.981443362010353,10.00595659882284,12.030469835635328,False
14,6.9,HIT,GST,2.0,-0.3980629394351669,1.09,-0.6733648222706746,1.06,1.561081201385355,1.9827391141432829,2.404397026901211,False
15,6.9,HIT,GST,4.0,-0.14939673994262576,1.46,-0.9550155021300756,1.53,1.652528190204969,1.8228084441418484,1.993088698078728,False
16,6.9,HIT,UST,2.0,-0.8400599133449851,0.54,-0.8379333394464925,0.7,0.8048403222651762,1.0796182467200055,1.354396171174835,False
17,6.9,HIT,UST,4.0,-1.0187835327460215,0.2803892880747783,-0.8184201872662207,0.37,0.5758580866398193,0.8680518061275035,1.1602455256151876,False
18,6.9,OTH,GST,2.0,0.14232842648957686,1.1839103762208143,1.141298816810311,0.66,3.925709734319135,5.966983468233892,8.008257202148647,False
19,6.9,OTH,GST,4.0,0.11397756753116595,1.3066011757052651,0.584185525590292,0.72,3.389391340308008,4.933432704981233,6.477474069654459,False
20,6.9,OTH,UST,2.0,1.0744267059829355,2.029927533593459,1.6897056665506063,1.12,5.700212478032186,8.23094794531808,10.761683412603976,False
21,6.9,OTH,UST,4.0,1.198485356129651,2.1,1.796485575054354,1.16,5.966549177546932,8.592587391562205,11.21862560557748,False
22,13.0,OTH,GST,2.0,-0.7360685267832049,0.6747007124266058,-1.092657477026485,0.59,0.7208631654791083,0.7682957933344987,0.815728421189889,False
23,13.0,OTH,GST,4.0,-0.7023634206298436,0.7171176150922547,-1.0893138780850729,0.67,0.7703150591080214,0.820731901574036,0.8711487440400505,False
24,13.0,OTH,GST,6.0,-0.6473846986582829,0.7928104042276564,-1.0825110687570902,0.72,0.8521833076690304,0.9086717643883032,0.9651602211075764,False
25,13.0,OTH,GST,8.0,-0.5664925762750457,0.9129647168820368,-1.07815919882733,0.83,0.9675896671159976,1.0279622361512175,1.088334805186438,False
26,13.0,OTH,UST,2.0,0.6918308696059482,2.7049608619230563,0.2878478433710308,1.01,3.9215650604801353,5.201120385872646,6.480675711265157,False
27,13.0,OTH,UST,4.0,0.6221861669678012,2.630812121135535,0.24985063383243966,0.96,3.791636006675145,5.037278225306075,6.282920443937005,False
28,13.0,OTH,UST,6.0,0.7214958917029123,2.574916462872212,0.2008938105301063,0.83,3.884855020428847,5.086802504748467,6.288749989068086,False
29,13.0,OTH,UST,8.0,0.5703705076942012,2.443323922993504,0.21006583424511302,0.63,3.684691582392801,4.894825242045924,6.104958901699048,False
30,13.0,OTH,UST,10.0,-0.02878157437867562,1.6274000976213765,-0.9532280423461956,1.4882034482798312,1.820410105190076,1.9922856950797487,2.1641612849694223,False
31,13.8,ALS,GST,2.0,-0.5064336740925148,0.9357993463093852,-0.9372100379543344,0.84,1.1761894536806226,1.3623613642645025,1.5485332748483829,False
32,13.8,ALS,GST,4.0,-0.43522511088918747,1.0327656928837108,-0.932376228769971,0.97,1.2786756740049845,1.4691618352647713,1.659647996524558,False
33,13.8,ALS,GST,6.0,-0.04560962359530345,1.6151339709385666,-0.9100036810809957,1.39,1.8357884698644031,2.0462424815931617,2.2566964933219205,False
34,13.8,ALS,GST,8.0,0.47884961531764203,2.3453017284536744,-0.8885065553783452,2.15,2.578022813783434,2.8076633480982967,3.03730388241316,False
35,13.8,ALS,GST,10.0,1.0409566128263978,3.11,-1.00992681254531,2.98,3.244604379616717,3.3658754259001014,3.4871464721834853,False
36,13.8,ALS,UST,2.0,0.748500674383526,1.975,0.6851434291966266,1.79,4.354285667970256,5.988433548490384,7.622581429010511,False
37,13.8,ALS,UST,4.0,0.687816269999203,1.905,0.7127994838585612,2.84,4.295306335338862,5.954137679348637,7.612969023358412,False
38,13.8,ALS,UST,6.0,0.7161520119661932,1.95,0.7403419048551911,1.95,4.358953562665194,6.042366950332215,7.725780337999236,False
39,13.8,ALS,UST,8.0,0.7479528794911418,2.005,0.77506440404148,1.75,4.433786331803637,6.1481900957702,7.862593859736764,False
40,13.8,ALS,UST,10.0,0.9067677579038685,2.845,0.2648240432079082,1.71,4.197339555187167,5.456345777041001,6.715351998894835,False
41,13.8,ANS,GST,2.0,-0.16562407495792345,1.4638470265619026,-0.8705123689403842,1.48,1.705576684679987,1.9512773132272596,2.196977941774532,False
42,13.8,ANS,GST,4.0,0.07740742079662066,1.8,-0.7729683948493411,1.74,2.1276925556340114,2.460452714274901,2.793212872915792,False
43,13.8,ANS,GST,6.0,0.4708467505179063,2.320088442286728,-0.7189778894275426,2.21,2.7182966313603725,3.099244164724704,3.4801916980890346,False
44,13.8,ANS,GST,8.0,0.9076118801709653,2.898751204480842,-0.7767786359808403,2.71,3.2688565444041555,3.598216002944985,3.927575461485815,False
45,13.8,ANS,UST,2.0,-1.96672232200329,-0.72,-0.09840306879934854,-0.67,-0.0883949100448681,0.8464254050598854,1.7812457201646388,False
46,13.8,ANS,UST,4.0,-2.2741759910435784,-1.34,-0.12743297461462125,-0.8,-0.5381767842674201,0.3707338835988405,1.2796445514651011,False
47,13.8,ANS,UST,6.0,-2.481393608228222,-1.7298534029808796,-0.1348039512413174,-1.95,-0.8304368911053793,0.0718950642629441,0.9742270196312676,False
48,13.8,ANS,UST,8.0,-2.6725898985803145,-2.0705815229454827,-0.11631279981060828,-1.01,-1.0775267760129137,-0.1586911773447494,0.7601444213234148,False
49,13.8,ENG,GST,2.0,0.14641422818640215,2.15,0.4438984934058326,2.16,3.308901890594937,4.727734873981504,6.146567857368073,False
50,13.8,ENG,GST,4.0,0.19390547231704322,2.21,0.40462306469664316,2.22,3.3393219462536874,4.723100992177589,6.106880038101489,False
51,13.8,ENG,GST,6.0,0.2609161180658358,2.2686220464046074,0.36329700652140406,2.25,3.394822283768301,4.741717173198847,6.088612062629391,False
52,13.8,ENG,GST,8.0,0.3083585050590535,2.338178775015212,0.1806941355137815,2.32,3.2972529872364884,4.481171944101161,5.665090900965833,False
53,13.8,ENG,UST,2.0,0.637322990794799,1.795,2.2890279860786493,1.58,5.63250228832376,8.698142346066765,11.76378240380977,False
54,13.8,ENG,UST,4.0,0.8199021687812532,2.27,2.2064740676492094,2.27,5.810535130403494,8.802494518347812,11.79445390629213,False
55,13.8,ENG,UST,6.0,1.1191597065674819,2.73,2.2296038371084266,2.59,6.243751411148091,9.256354481893498,12.268957552638906,False
56,13.8,ENG,UST,8.0,1.4778564926874282,3.26,2.198144582032024,4.72,6.710192286218554,9.69471747732487,12.679242668431186,False
