,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
0,4.16,GE,GST,2.0,3.7122376366221737,3.696725348617437,0.10861864561684283,3.604378521150263,3.8208562822390166,3.929474927855859,4.038093573472702,False
1,4.16,GE,UST,2.0,3.6128750302989494,3.6136762786152974,0.060816312383585994,3.522912519513652,3.6736913426825355,3.7345076550661216,3.7953239674497072,False
2,4.16,MIT,GST,2.0,1.1029125342286263,1.1095471594713462,0.014936473864979684,1.0858081057944606,1.117849008093606,1.1327854819585856,1.1477219558235654,False
3,4.16,MIT,UST,2.0,1.32119005394184,1.3301774861292075,0.07630148618816977,1.240792870591834,1.3974915401300096,1.4737930263181795,1.5500945125063492,False
4,4.16,OTH,GST,2.0,4.668992052367859,3.0662764974028933,2.864053630718317,2.4720692584154964,7.533045683086176,10.397099313804492,13.26115294452281,False
5,4.16,OTH,GST,4.0,6.740677669630552,4.545163852597723,2.9261660687125377,4.209091920631751,9.66684373834309,12.593009807055626,15.519175875768164,False
6,6.9,ANS,GST,2.0,3.2867662766727808,3.68,1.0505067622781148,3.55,4.3372730389508956,5.38777980122901,6.438286563507125,False
7,6.9,ANS,GST,4.0,4.2313640908937105,4.69,1.405936011413146,4.69,5.637300102306856,7.043236113720003,8.449172125133149,False
8,6.9,ANS,UST,2.0,1.0032222829433877,0.9450000000000001,1.610806492121795,0.63,2.614028775065183,4.224835267186978,5.835641759308773,False
9,6.9,ANS,UST,4.0,1.2212989609249554,1.1165662490334782,1.5588098592598578,-0.37,2.780108820184813,4.338918679444671,5.897728538704529,False
10,6.9,GE,GST,2.0,2.7875834122604912,2.5529671860166374,1.235235861501048,2.98,4.022819273761539,5.2580551352625875,6.493290996763635,False
11,6.9,GE,GST,4.0,3.230039581799019,3.0678997336394778,1.154272014471506,3.02,4.384311596270525,5.53858361074203,6.692855625213537,False
12,6.9,GE,UST,2.0,5.8935633319241605,5.64,1.7559557751386257,2.86,7.649519107062786,9.405474882201412,11.161430657340038,False
13,6.9,GE,UST,4.0,5.956930125197865,5.68,2.0245132368124876,2.83,7.981443362010353,10.005956598822841,12.030469835635328,False
14,6.9,HIT,GST,2.0,1.139423288627427,1.09,0.421657912757928,1.06,1.561081201385355,1.9827391141432829,2.404397026901211,False
15,6.9,HIT,GST,4.0,1.4822479362680896,1.46,0.17028025393687943,1.53,1.652528190204969,1.8228084441418484,1.993088698078728,False
16,6.9,HIT,UST,2.0,0.5300623978103469,0.54,0.2747779244548293,0.7,0.8048403222651762,1.0796182467200055,1.3543961711748347,False
17,6.9,HIT,UST,4.0,0.28366436715213517,0.28038928807477836,0.2921937194876842,0.37,0.5758580866398193,0.8680518061275035,1.1602455256151876,False
18,6.9,OTH,GST,2.0,1.8844360004043792,1.1839103762208143,2.041273733914756,0.66,3.925709734319135,5.966983468233892,8.008257202148647,False
19,6.9,OTH,GST,4.0,1.8453499756347809,1.3066011757052651,1.5440413646732263,0.72,3.3893913403080074,4.933432704981233,6.477474069654459,False
20,6.9,OTH,UST,2.0,3.1694770107462915,2.029927533593459,2.5307354672858944,1.12,5.700212478032186,8.23094794531808,10.761683412603976,False
21,6.9,OTH,UST,4.0,3.3405109635316586,2.1,2.6260382140152734,1.16,5.966549177546932,8.592587391562205,11.21862560557748,False
22,13.0,OTH,GST,2.0,0.6734305376237181,0.6747007124266058,0.04743262785539029,0.59,0.7208631654791083,0.7682957933344987,0.815728421189889,False
23,13.0,OTH,GST,4.0,0.7198982166420069,0.7171176150922547,0.050416842466014536,0.67,0.7703150591080214,0.820731901574036,0.8711487440400505,False
24,13.0,OTH,GST,6.0,0.7956948509497574,0.7928104042276564,0.05648845671927293,0.72,0.8521833076690304,0.9086717643883033,0.9651602211075763,False
